ParticipantID,NLL,Recovered_lr,Synthetic_lr,Recovered_vunsamp,Synthetic_vunsamp,Recovered_vps,Synthetic_vps,Recovered_lam,Synthetic_lam,Recovered_kappa_a,Synthetic_kappa_a,Recovered_prior_r,Synthetic_prior_r,Recovered_a_bs,Synthetic_a_bs,Recovered_ndt,Synthetic_ndt,Recovered_v_max_stage_0,Synthetic_v_max_stage_0,Recovered_v_max_stage_1,Synthetic_v_max_stage_1,Recovered_v_mod,Synthetic_v_mod
11,0.7504667334782308,2.196963753421396,3.335618709996933,0.5303172252110772,0.6284536193626764,0.10699145619753576,0.1319478315992181,3.6068869511011834,6.124611286280749,1.0823555988682598,1.3966016780816592,0.7789446092131475,0.7495272338403802,1.0645103257207056,1.0334594737775689,0.2882322503445555,0.2857164953713028,0.5413481889635826,0.4765470496967894,4.662010599937577,4.475791440506382,1.0,0.5575878151711118
12,0.6462659814286436,3.280479355196484,2.294244330308381,0.8280300610708743,0.8148396419637057,0.41154301824385753,0.3126725395205446,4.667129540924113,4.475283795912553,5.0,4.256188312507487,0.47740746113625215,0.546097581939215,2.9463552212110913,2.7197738590476144,0.2647707072177743,0.278359330394316,5.030708862515875,4.87471301625849,10.0,6.209523875804722,0.061189903910505446,0.1333940301452399
13,1.980169443575677,4.0,0.1316348663701378,0.0,0.1020699010177435,0.9,0.4297149687056877,0.016131569892762813,0.2402673463080851,0.261455841273002,3.1310446456861083,0.5039043112870326,0.2585495707856507,1.2592012864756463,1.2285576895501094,0.3994277003352771,0.4264929458562184,9.959642049086815,1.1582674670624904,3.132435709639412,2.705519937974664,0.0738106055198613,0.0210796728355112
14,1.7183854476514189,2.0828485184146914,3.9401822144418777,0.4760415416750795,0.5504162473092695,0.2765181719375997,0.3405184549517241,0.1682707236412773,0.2652835111044915,1.3020837479408836,1.9491937418749208,0.5819192373960516,0.4715351758318606,3.555417011595187,3.744711816928661,0.35774788872422686,0.2785041718380566,6.618104175368807,6.14781891083299,9.98354095614703,6.651683545821934,0.33024189618369687,0.1859609697963389
15,-0.0731584752139956,1.4375507539327077,2.0230533959457278,0.7317643521265206,0.7078506865739413,0.13562892998737183,0.0869211309855721,3.8763910121605436,6.060352981689622,0.3033666550265075,0.1302996634419662,0.2,0.2042280342860454,0.5599178869596037,0.5202558464182641,0.48302827589165165,0.4814004591490364,2.8007048188608117,9.257041086902309,1.9390248607410216,4.055573841390242,0.5211052052546319,0.0750326393365408
16,-1.0685500619432726,3.524365314148044,3.445409897932115,0.4655513274807306,0.4673678269233962,0.23695525821577276,0.2870422820256817,10.0,9.630323387846756,5.0,4.691308842511892,0.3781454653750481,0.3560113831740154,1.1566679878850614,1.045149858740765,0.5810472546877437,0.5889087033060773,8.324865488236835,8.42518209841559,3.618447942042352,3.3672108974505486,0.9050116753239343,0.5864294214642616
17,-0.6740729017829051,1.5228855274592774,0.6489799979152311,0.03783090174269178,0.1751343617143276,0.9,0.6852016943928861,0.33937746896541715,1.5009846135204996,0.8578980819669383,1.3295352052391374,0.8,0.6136969179066016,0.37131859176734866,0.3558304382420227,0.03371423062057215,0.0321944038685705,5.429284757529619,2.8752594002402865,6.822998340943091,3.366231805122992,0.3424029790394672,0.3622161055300111
18,0.38881165989192884,3.037137094684666,3.2287623020540783,0.0318548174954922,0.0323828708927777,0.33733192112643556,0.3225557201627926,2.2998438791540274,6.382781332668243,0.29013118104015806,0.7150205475916133,0.618544354727114,0.7146431687068644,2.6466680661667805,2.688588310611701,0.13167684851909503,0.115293425480027,2.152171795208756,2.080974099989472,7.846299412497811,7.454983307481646,1.0,0.4034066283341728
19,-0.07116116308550333,1.509550888348918,1.937880243794027,0.7256204911472716,0.7987095702654547,0.14089698208624404,0.1236991946618078,1.683330619345307,9.643727973861177,0.02901101402853567,0.2131484089828994,0.2506597642973397,0.2596641543529309,1.0896616894288587,1.1259821944796409,0.8144227420893189,0.8065850822605141,4.82396543090917,4.558728073695024,6.481182794722907,6.532511422613194,1.0,0.1743211375198372
20,-0.7751411190120248,0.09168899557358459,0.666887731706113,0.26054498096332585,0.4687635064984102,0.8660991622455575,0.6662642717521995,10.0,4.624744652150285,2.8591643489026484,4.348070425605564,0.5977119896520119,0.5962471608023843,1.2249215623579777,1.2216333272721511,0.2355266854850846,0.2349022208021048,3.6669976912737474,3.740467168670696,7.650894671290714,7.566160562962172,1.0,0.9379376643097822
21,-0.629405337330732,3.939682477094972,3.447623997275332,0.25413650952572997,0.2354497134146295,0.3861451286592908,0.3710510351807128,4.583847814150971,6.115440994503215,2.3915766074942635,2.7341722790790417,0.38736533540419876,0.4335649672453794,0.7205126076266481,0.6752568744607239,0.7077831324715347,0.7122448043972556,0.9366788210195472,0.8813516392543386,8.50702690244744,8.660774293737196,1.0,0.8634484403326346
22,-0.4372814038961769,4.0,2.833803166061491,0.4920406911856084,0.4377821164269175,0.41225841213753944,0.629231908871625,8.89448552439541,3.949870601017651,4.243166590713725,3.9874799214667433,0.8,0.6718502493679087,0.843267153983779,0.8754557603324002,0.3219268309700987,0.3178175503505978,3.4250852167164774,3.4398317678599035,3.4719537455021117,3.641702986535258,0.3500318963791587,0.5666455566878987
23,1.5256038546383552,0.28452225819878685,0.1667497700811511,0.5633631065721852,0.5939727470675092,0.28746239135407975,0.1814685831509709,0.8471119394657145,4.164625561731081,0.858055310423615,2.2544632825035,0.4089505345032169,0.4092360617285876,1.754684086324212,1.7181371474736469,0.16254041394254326,0.1803060608477593,0.9630312563978517,0.6813005739407441,10.0,5.512566489358516,1.0,0.5958669456166511
