ParticipantID,NLL,Recovered_lr,Synthetic_lr,Recovered_vsamp,Synthetic_vsamp,Recovered_vps,Synthetic_vps,Recovered_lam,Synthetic_lam,Recovered_kappa_a,Synthetic_kappa_a,Recovered_prior_r,Synthetic_prior_r,Recovered_a_bs,Synthetic_a_bs,Recovered_ndt,Synthetic_ndt,Recovered_v_max_stage_0,Synthetic_v_max_stage_0,Recovered_v_max_stage_1,Synthetic_v_max_stage_1,Recovered_v_mod,Synthetic_v_mod
11,0.42589344415754543,3.961008811423587,3.335618709996933,0.5997160514192386,0.6284536193626764,0.1979275347062697,0.1319478315992181,10.0,6.124611286280749,1.8261521536248009,1.3966016780816592,0.6290626668876618,0.7495272338403802,1.0513423643834516,1.0334594737775689,0.2879630327144054,0.2857164953713028,0.7215922582355404,0.4765470496967894,4.569131254797667,4.475791440506382,0.21326503603154617,0.5575878151711118
12,0.39354684844435545,3.912833687867514,2.294244330308381,0.8442139603323129,0.8148396419637057,0.3175008945990095,0.3126725395205446,4.655559137214904,4.475283795912553,5.0,4.256188312507487,0.498874930584787,0.546097581939215,2.73411594521084,2.7197738590476144,0.2861561869326508,0.278359330394316,5.039635520446921,4.87471301625849,10.0,6.209523875804722,0.054319514645555976,0.1333940301452399
13,1.974281013847622,0.13347651712126485,0.1316348663701378,0.9,0.1020699010177435,0.9,0.4297149687056877,0.0,0.2402673463080851,5.0,3.1310446456861083,0.8,0.2585495707856507,1.246784902248425,1.2285576895501094,0.40050032073326347,0.4264929458562184,0.24169411710858144,1.1582674670624904,9.939804465205329,2.705519937974664,0.03746065874988561,0.0210796728355112
14,1.3716210268051539,4.0,3.9401822144418777,0.6186508133048302,0.5504162473092695,0.0,0.3405184549517241,0.27876498758352103,0.2652835111044915,2.0055193963793267,1.9491937418749208,0.5983947888396202,0.4715351758318606,3.504754023255497,3.744711816928661,0.33184709608992596,0.2785041718380566,6.300120550584926,6.14781891083299,9.999781161809674,6.651683545821934,0.1743169249960256,0.1859609697963389
15,-0.3496104375661487,1.57821130802731,2.0230533959457278,0.7305640620352122,0.7078506865739413,0.033390648227600024,0.0869211309855721,9.778480109967278,6.060352981689622,0.3602114921844479,0.1302996634419662,0.2,0.2042280342860454,0.5306945152038921,0.5202558464182641,0.48412692239609106,0.4814004591490364,7.4225882696489744,9.257041086902309,3.656611996641856,4.055573841390242,0.06530215317693724,0.0750326393365408
16,-1.1630234083428967,2.6254096212281453,3.445409897932115,0.21343523146989385,0.4673678269233962,0.03271003247095172,0.2870422820256817,2.74550448271136,9.630323387846756,3.3709304490212304,4.691308842511892,0.6509894036068463,0.3560113831740154,1.072513541778533,1.045149858740765,0.5893542604361597,0.5889087033060773,8.506180402260554,8.42518209841559,3.6632144977704435,3.3672108974505486,0.9999458004972582,0.5864294214642616
17,-0.8096496100339079,0.01136546750304466,0.6489799979152311,0.053156148406490744,0.1751343617143276,0.7349122417643102,0.6852016943928861,9.989187632673806,1.5009846135204996,1.0986046664536233,1.3295352052391374,0.8,0.6136969179066016,0.3724381555740383,0.3558304382420227,0.03387101713317534,0.0321944038685705,2.6635943789468546,2.8752594002402865,2.7915449886940595,3.366231805122992,0.8480089394106417,0.3622161055300111
18,0.42718185196571884,2.976936073580392,3.2287623020540783,0.016216083571056875,0.0323828708927777,0.33509878644359614,0.3225557201627926,4.6733620324300995,6.382781332668243,0.5902282333211729,0.7150205475916133,0.6611822367468979,0.7146431687068644,2.642538522831679,2.688588310611701,0.1071207156239702,0.115293425480027,1.97880171603582,2.080974099989472,7.0261800063866495,7.454983307481646,0.5207430883858788,0.4034066283341728
19,-0.1704069505888117,1.6413597440390648,1.937880243794027,0.7625848045143828,0.7987095702654547,0.06620942181674346,0.1236991946618078,1.489696072074947,9.643727973861177,0.0,0.2131484089828994,0.23127942379800184,0.2596641543529309,1.1594974732287977,1.1259821944796409,0.8017539264308271,0.8065850822605141,5.22343858989272,4.558728073695024,6.562553417400416,6.532511422613194,0.9973186487626367,0.1743211375198372
20,-0.6971810568047229,0.3424909749844746,0.666887731706113,0.47244555559376794,0.4687635064984102,0.6497104063326381,0.6662642717521995,8.684402184398131,4.624744652150285,2.160381338725567,4.348070425605564,0.6826861047123723,0.5962471608023843,1.2413451653031033,1.2216333272721511,0.2267168654008574,0.2349022208021048,3.8196810822721887,3.740467168670696,6.949809498040206,7.566160562962172,1.0,0.9379376643097822
21,-0.7137641904968804,3.540231785328431,3.447623997275332,0.05762203422673395,0.2354497134146295,0.4810252240843588,0.3710510351807128,4.627009514125848,6.115440994503215,4.809275953872362,2.7341722790790417,0.3879331230626967,0.4335649672453794,0.7006207192253291,0.6752568744607239,0.7128412071094006,0.7122448043972556,0.712016799449503,0.8813516392543386,8.77986677197036,8.660774293737196,0.9890132613393054,0.8634484403326346
22,-0.4887786722543555,4.0,2.833803166061491,0.21280029083276242,0.4377821164269175,0.860899271458932,0.629231908871625,0.184355612857765,3.949870601017651,5.0,3.9874799214667433,0.24765907981047047,0.6718502493679087,0.9363046293356442,0.8754557603324002,0.3225005081300199,0.3178175503505978,3.757694264045224,3.4398317678599035,10.0,3.641702986535258,0.449400096146421,0.5666455566878987
23,1.3058787585503784,0.6515371841171765,0.1667497700811511,0.34448745130209163,0.5939727470675092,0.5194631897857604,0.1814685831509709,7.23327934812981,4.164625561731081,5.0,2.2544632825035,0.48284592995589176,0.4092360617285876,1.659760355205465,1.7181371474736469,0.2206761253970493,0.1803060608477593,0.5999712824635798,0.6813005739407441,10.0,5.512566489358516,0.04402614405393497,0.5958669456166511
